"date","dus","mad"
"2022-01-01","12.8","10.1"
"2022-01-02","11.4","9.5"
"2022-01-03","9.7","9.1"
"2022-01-04","6.8","7.4"
"2022-01-05","3.8","5.9"
"2022-01-06","2.9","4.1"
"2022-01-07","3.4","4.8"
"2022-01-08","2.3","3.4"
"2022-01-09","4.3","8.8"
"2022-01-10","1.3","11.5"
"2022-01-11","1.1","9.2"
"2022-01-12","2.4","7.3"
"2022-01-13","1.8","5.6"
"2022-01-14","1.8","4.4"
"2022-01-15","2.1","3.9"
"2022-01-16","3.8","3.9"
"2022-01-17","6.2","4.8"
"2022-01-18","6.4","5.8"
"2022-01-19","3.8","6"
"2022-01-20","3.2","6.9"
"2022-01-21","2.5","4.9"
"2022-01-22","5.1","5"
"2022-01-23","4.9","5.8"
"2022-01-24","4.4","6.6"
"2022-01-25","3","7.9"
"2022-01-26","2.5","6.4"
"2022-01-27","5.5","7.7"
"2022-01-28","5.2","8.1"
"2022-01-29","8.1","8.8"
"2022-01-30","5.6","8.9"
"2022-01-31","5","8.1"
"2022-02-01","5.7","10.7"
"2022-02-02","7.9","10.6"
"2022-02-03","7.3","10.1"
"2022-02-04","6.5","9.6"
"2022-02-05","5.2","9.8"
"2022-02-06","6.6","7.8"
"2022-02-07","5.2","9.3"
"2022-02-08","8.5","10.2"
"2022-02-09","8.7","9.7"
"2022-02-10","5.8","9.3"
"2022-02-11","3.9","10.8"
"2022-02-12","2.5","10.5"
"2022-02-13","5.8","9.7"
"2022-02-14","9.3","8.1"
"2022-02-15","7.4","7.3"
"2022-02-16","10.9","9.4"
"2022-02-17","9.9","10.5"
"2022-02-18","9","11.8"
"2022-02-19","6.3","9.8"
"2022-02-20","8.3","7.8"
"2022-02-21","5.7","11"
"2022-02-22","6.8","12.5"
"2022-02-23","6.9","12.1"
"2022-02-24","7.2","11.3"
"2022-02-25","3.6","8.9"
"2022-02-26","2.1","8.4"
"2022-02-27","4.5","9.4"
"2022-02-28","6.1","10.7"
"2022-03-01","5.8","11.3"
"2022-03-02","5.4","12"
"2022-03-03","4.9","8.5"
"2022-03-04","3.1","8.9"
"2022-03-05","2.9","7.5"
"2022-03-06","1.1","7.7"
"2022-03-07","2.1","7.1"
"2022-03-08","5.2","8.3"
"2022-03-09","7.5","8.8"
"2022-03-10","9.3","10.8"
"2022-03-11","9.8","9.2"
"2022-03-12","11.1","8.4"
"2022-03-13","11.5","9.4"
"2022-03-14","9.4","7.6"
"2022-03-15","8.1","12.9"
"2022-03-16","8.6","12.7"
"2022-03-17","8.4","10.9"
"2022-03-18","7.2","10.5"
"2022-03-19","8.4","10.7"
"2022-03-20","7.6","11"
"2022-03-21","10.8","9.9"
"2022-03-22","12.8","9.4"
"2022-03-23","10.2","8.8"
"2022-03-24","9.7","9.3"
"2022-03-25","9.9","10.2"
"2022-03-26","11.2","9.9"
"2022-03-27","11.1","11.4"
"2022-03-28","10.5","11.7"
"2022-03-29","9.3","12.8"
"2022-03-30","8.5","10.8"
"2022-03-31","4.9","9.2"
"2022-04-01","1.2","7.1"
"2022-04-02","2.9","5.7"
"2022-04-03","3.2","5.7"
"2022-04-04","4.4","5.9"
"2022-04-05","10.2","6.7"
"2022-04-06","10","7.3"
"2022-04-07","9.5","11.4"
"2022-04-08","6.7","10.5"
"2022-04-09","5.8","12.2"
"2022-04-10","5.8","14"
"2022-04-11","10.2","14.1"
"2022-04-12","15.9","11.4"
"2022-04-13","15.2","11.6"
"2022-04-14","14.4","14"
"2022-04-15","9","15.9"
"2022-04-16","10.1","17.5"
"2022-04-17","10.9","17.3"
"2022-04-18","12.9","18.6"
"2022-04-19","11.8","12.8"
"2022-04-20","12","8.6"
"2022-04-21","11.8","9.9"
"2022-04-22","12.3","8.7"
"2022-04-23","13.9","8.1"
"2022-04-24","13.3","10.2"
"2022-04-25","9.3","12.3"
"2022-04-26","10.5","13.9"
"2022-04-27","10.7","12.6"
"2022-04-28","11.3","11.9"
"2022-04-29","10.8","15"
"2022-04-30","10","16"
"2022-05-01","11","16.9"
"2022-05-02","12.9","14.2"
"2022-05-03","12.8","13.3"
"2022-05-04","11.8","14.3"
"2022-05-05","13.2","14.9"
"2022-05-06","14","15.3"
"2022-05-07","15.1","16.4"
"2022-05-08","13.7","17.9"
"2022-05-09","16.5","19.4"
"2022-05-10","19.7","20.5"
"2022-05-11","19.9","22.4"
"2022-05-12","15.2","21.7"
"2022-05-13","14.2","21.9"
"2022-05-14","15.3","21"
"2022-05-15","18","20.4"
"2022-05-16","18.6","19.2"
"2022-05-17","18.9","20.8"
"2022-05-18","23.5","23"
"2022-05-19","21.3","25.6"
"2022-05-20","17.4","25.9"
"2022-05-21","14.5","26.1"
"2022-05-22","16.6","22.8"
"2022-05-23","18.7","20.7"
"2022-05-24","14","18"
"2022-05-25","15","15.8"
"2022-05-26","17.1","21.0"
"2022-05-27","14.7","22.4"
"2022-05-28","12.8","24.1"
"2022-05-29","10.3","23.8"
"2022-05-30","11.8","20.6"
"2022-05-31","12.7","22.1"
"2022-06-01","12.3","23"
"2022-06-02","13.9","22.3"
"2022-06-03","18.1","21.9"
"2022-06-04","19.5","20.8"
"2022-06-05","17.8","21.6"
"2022-06-06","17","23.7"
"2022-06-07","15.9","25"
"2022-06-08","15.6","25"
"2022-06-09","15.3","25.5"
"2022-06-10","18.1","27.2"
"2022-06-11","20.3","28"
"2022-06-12","18","27.8"
"2022-06-13","15.4","29.3"
"2022-06-14","15.7","30.5"
"2022-06-15","19.9","31.1"
"2022-06-16","19.2","29.8"
"2022-06-17","21.8","30.2"
"2022-06-18","26.9","30.6"
"2022-06-19","18.7","23.8"
"2022-06-20","16.1","22"
"2022-06-21","17","21.2"
"2022-06-22","20.8","18.9"
"2022-06-23","24.7","19.4"
"2022-06-24","20.7","19.7"
"2022-06-25","21.2","20.8"
"2022-06-26","18.7","21.2"
"2022-06-27","17.2","21.2"
"2022-06-28","18.8","22.8"
"2022-06-29","21","24.9"
"2022-06-30","21.2","23.9"
"2022-07-01","16.9","23.7"
"2022-07-02","20.1","27.5"
"2022-07-03","19.7","28.5"
"2022-07-04","18.6","27.8"
"2022-07-05","18.6","28.4"
"2022-07-06","16.8","26.6"
"2022-07-07","17.6","24.8"
"2022-07-08","18.7","26.5"
"2022-07-09","18.8","29.2"
"2022-07-10","16.7","30.6"
"2022-07-11","18","30.4"
"2022-07-12","21.4","31"
"2022-07-13","24.3","32.2"
"2022-07-14","19.8","33.7"
"2022-07-15","17.6","32.6"
"2022-07-16","18.7","32.6"
"2022-07-17","19.3","32.6"
"2022-07-18","24.4","31.9"
"2022-07-19","28.6","29.3"
"2022-07-20","26","29.1"
"2022-07-21","18.6","30.4"
"2022-07-22","18.4","31.2"
"2022-07-23","20","30.2"
"2022-07-24","23.9","30.9"
"2022-07-25","23.9","31.5"
"2022-07-26","19","28.6"
"2022-07-27","17","28.3"
"2022-07-28","19.4","29.3"
"2022-07-29","19.6","29.6"
"2022-07-30","20","29.1"
"2022-07-31","21.5","30.1"
"2022-08-01","20.6","31.6"
"2022-08-02","22.1","31.3"
"2022-08-03","25.8","30.4"
"2022-08-04","25.9","30.3"
"2022-08-05","18.8","29.9"
"2022-08-06","16.3","29.7"
"2022-08-07","18.7","29.7"
"2022-08-08","20.2","29.3"
"2022-08-09","22.2","30.1"
"2022-08-10","24.2","29.7"
"2022-08-11","24.7","29.6"
"2022-08-12","24.5","29.8"
"2022-08-13","24.9","25.4"
"2022-08-14","25.5","24.1"
"2022-08-15","23","24.9"
"2022-08-16","24.3","24.4"
"2022-08-17","21.4","21"
"2022-08-18","20.8","21.4"
"2022-08-19","21","23.2"
"2022-08-20","20.2","26"
"2022-08-21","19.8","28.2"
"2022-08-22","21.7","27.8"
"2022-08-23","23.1","28.3"
"2022-08-24","25.2","28.7"
"2022-08-25","25.8","27.7"
"2022-08-26","21.2","25.6"
"2022-08-27","19.2","24.8"
"2022-08-28","19","26.9"
"2022-08-29","17.5","25.6"
"2022-08-30","21.2","26.8"
"2022-08-31","20.5","26.1"
"2022-09-01","20.1","24.7"
"2022-09-02","20.4","23.9"
"2022-09-03","20.6","22.7"
"2022-09-04","21.7","22.4"
"2022-09-05","23.7","21.6"
"2022-09-06","24","22"
"2022-09-07","19.8","21.3"
"2022-09-08","18.4","21.9"
"2022-09-09","17.3","24.1"
"2022-09-10","16.4","25.9"
"2022-09-11","16.4","27.5"
"2022-09-12","18.7","26.1"
"2022-09-13","20.5","20.1"
"2022-09-14","14.5","19"
"2022-09-15","14.5","18.5"
"2022-09-16","12.9","20"
"2022-09-17","12.3","20.5"
"2022-09-18","11","21.5"
"2022-09-19","12.1","22.3"
"2022-09-20","12.5","21.8"
"2022-09-21","11.1","21.3"
"2022-09-22","12.2","21"
"2022-09-23","13.9","21.9"
"2022-09-24","14.3","19.9"
"2022-09-25","13.4","16.4"
"2022-09-26","11.4","16.6"
"2022-09-27","9.9","16.7"
"2022-09-28","9.5","17"
"2022-09-29","9.4","14.4"
"2022-09-30","11.1","14.2"
"2022-10-01","13.2","15.9"
"2022-10-02","13.7","18.6"
"2022-10-03","11.7","20.2"
"2022-10-04","13.2","21.4"
"2022-10-05","16.1","20.9"
"2022-10-06","13","20.4"
"2022-10-07","11.9","19.1"
"2022-10-08","11.8","18.9"
"2022-10-09","10.4","18.7"
"2022-10-10","12.6","18.3"
"2022-10-11","8.2","17.4"
"2022-10-12","9.4","16.7"
"2022-10-13","12.8","17"
"2022-10-14","13.9","18"
"2022-10-15","14.8","19"
"2022-10-16","15.9","19.3"
"2022-10-17","17.5","19.2"
"2022-10-18","14.2","20"
"2022-10-19","10.3","19.5"
"2022-10-20","13.4","17.2"
"2022-10-21","15.6","14.6"
"2022-10-22","15.1","15.6"
"2022-10-23","16.1","15.2"
"2022-10-24","15.8","14.2"
"2022-10-25","13.7","16.1"
"2022-10-26","15.9","17"
"2022-10-27","17.8","17.7"
"2022-10-28","19.4","17.6"
"2022-10-29","18.2","17.3"
"2022-10-30","16.7","14.8"
"2022-10-31","15.2","13.1"
"2022-11-01","14.8","14"
"2022-11-02","12.8","13.5"
"2022-11-03","12","13.3"
"2022-11-04","10","11.2"
"2022-11-05","8.4","9.6"
"2022-11-06","9.7","10.7"
"2022-11-07","12.7","10.9"
"2022-11-08","14","12.4"
"2022-11-09","13","12.6"
"2022-11-10","10.8","10.4"
"2022-11-11","9.9","10"
"2022-11-12","9.8","11.9"
"2022-11-13","8.5","11.7"
"2022-11-14","6.1","11.4"
"2022-11-15","12.5","13.3"
"2022-11-16","11.4","12.4"
"2022-11-17","11","14.1"
"2022-11-18","8.9","9.9"
"2022-11-19","2.3","7.7"
"2022-11-20","3.7","9.9"
"2022-11-21","6.2","11.2"
"2022-11-22","7.2","7.4"
"2022-11-23","8.6","13.1"
"2022-11-24","8.8","12.5"
"2022-11-25","8.8","11"
"2022-11-26","6.3","6.9"
"2022-11-27","7","6.9"
"2022-11-28","7.2","8"
"2022-11-29","7.5","6.3"
"2022-11-30","6.3","6.5"
"2022-12-01","5.5","6.6"
"2022-12-02","2.9","5.6"
"2022-12-03","1.7","5.1"
"2022-12-04","1.5","4.7"
"2022-12-05","1.4","6.4"
"2022-12-06","3.7","9.7"
"2022-12-07","4.7","8.1"
"2022-12-08","3.6","9.4"
"2022-12-09","1.1","9.2"
"2022-12-10","-1.1","8.4"
"2022-12-11","0.3","7.4"
"2022-12-12","-0.6","11.5"
"2022-12-13","-2.9","13.4"
"2022-12-14","-3.5","11.5"
"2022-12-15","-5.6","9.2"
"2022-12-16","-4.1","7.4"
"2022-12-17","-3.6","7.5"
"2022-12-18","-1.7","7.5"
"2022-12-19","5.5","5.4"
"2022-12-20","10.4","8.2"
"2022-12-21","9","10.6"
"2022-12-22","9.5","11.2"
"2022-12-23","10.5","10.9"
"2022-12-24","9.5","8.8"
"2022-12-25","10.1","9.3"
"2022-12-26","8.3","8.9"
"2022-12-27","5.1","7.5"
"2022-12-28","9.1","7"
"2022-12-29","10.4","9.3"
"2022-12-30","8.2","10.6"
"2022-12-31","16","7.5"